nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 47/100 | Train Acc: 97.13% | Val Acc: 96.14%
Epoch 48/100 | Train Acc: 97.18% | Val Acc: 96.47%
Epoch 49/100 | Train Acc: 97.27% | Val Acc: 96.44%
Epoch 50/100 | Train Acc: 97.29% | Val Acc: 96.56%
Epoch 51/100 | Train Acc: 97.34% | Val Acc: 96.66%
Epoch 52/100 | Train Acc: 97.42% | Val Acc: 96.54%
Epoch 53/100 | Train Acc: 97.44% | Val Acc: 96.48%
Epoch 54/100 | Train Acc: 97.54% | Val Acc: 96.57%
Epoch 55/100 | Train Acc: 97.53% | Val Acc: 96.66%
Epoch 56/100 | Train Acc: 97.59% | Val Acc: 96.86%
Epoch 57/100 | Train Acc: 97.63% | Val Acc: 96.71%
Epoch 58/100 | Train Acc: 97.68% | Val Acc: 96.65%
Epoch 59/100 | Train Acc: 97.74% | Val Acc: 96.99%
Epoch 60/100 | Train Acc: 97.78% | Val Acc: 96.33%
Epoch 61/100 | Train Acc: 97.80% | Val Acc: 96.90%
Epoch 62/100 | Train Acc: 97.84% | Val Acc: 96.88%
Epoch 63/100 | Train Acc: 97.86% | Val Acc: 97.07%
Epoch 64/100 | Train Acc: 97.94% | Val Acc: 96.96%
Epoch 65/100 | Train Acc: 97.91% | Val Acc: 97.09%
Epoch 66/100 | Train Acc: 97.95% | Val Acc: 97.07%
Epoch 67/100 | Train Acc: 98.00% | Val Acc: 97.03%
Epoch 68/100 | Train Acc: 98.05% | Val Acc: 97.06%
Epoch 69/100 | Train Acc: 98.07% | Val Acc: 97.27%
Epoch 70/100 | Train Acc: 98.11% | Val Acc: 97.27%
Epoch 71/100 | Train Acc: 98.16% | Val Acc: 97.07%
Epoch 72/100 | Train Acc: 98.18% | Val Acc: 97.24%
Epoch 73/100 | Train Acc: 98.22% | Val Acc: 97.35%
Epoch 74/100 | Train Acc: 98.21% | Val Acc: 97.14%
Epoch 75/100 | Train Acc: 98.27% | Val Acc: 97.13%
Epoch 76/100 | Train Acc: 98.28% | Val Acc: 97.11%
Epoch 77/100 | Train Acc: 98.29% | Val Acc: 97.06%
Epoch 78/100 | Train Acc: 98.34% | Val Acc: 97.13%
Epoch 79/100 | Train Acc: 98.36% | Val Acc: 97.42%
Epoch 80/100 | Train Acc: 98.39% | Val Acc: 97.22%
